index,original_pair,corrupted_pair
2945,the wifi is not good . [A] [O] [S] [A] wifi [O] not good [S] negative,
2970,the bed wasn't comfortable . [A] [O] [S] [A] bed [O] wasn't comfortable [S] negative,
2991,"good service . thank you , airy ! [A] [O] [S] [A] service [O] good [S] positive",
3084,the room is very cramped . [A] [O] [S] [A] room [O] very cramped [S] negative,
3113,the room is spacious and close to balapan station . [A] [O] [S] [A] room [O] spacious [S] positive,
3172,the sink is clogged . [A] [O] [S] [A] sink [O] clogged [S] negative,
3251,but mineral water was not provided in the room . [A] [O] [S] [A] mineral water [O] not provided [S] negative,
3253,the receptionist service is fast . [A] [O] [S] [A] receptionist service [O] fast [S] positive,
3266,the hotel is very good . [A] [O] [S] [A] hotel [O] very good [S] positive,
3307,the receptionist is friendly . [A] [O] [S] [A] receptionist [O] friendly [S] positive,
3377,"the hotel is comfortable . thank you , airy . [A] [O] [S] [A] hotel [O] comfortable [S] positive",
3384,the shower is broken . [A] [O] [S] [A] shower [O] broken [S] negative,
3392,the water flow is too weak . [A] [O] [S] [A] water flow [O] too weak [S] negative,
3401,fast service . [A] [O] [S] [A] service [O] fast [S] positive,
3470,"the check-in process was slow , even though i wanted to rest . [A] [O] [S] [A] check-in process [O] slow [S] negative",
3486,the bathroom is cramped . [A] [O] [S] [A] bathroom [O] cramped [S] negative,
3494,the room is spacious and close to tourist attractions . [A] [O] [S] [A] room [O] spacious [S] positive,
3500,the service is very friendly . [A] [O] [S] [A] service [O] very friendly [S] positive,
3501,it's a shame the wifi isn't good ; i have to go outside the room . [A] [O] [S] [A] wifi [O] isn't good [S] negative,
3510,the ac is not cold enough . [A] [O] [S] [A] ac [O] not cold enough [S] negative,the fridge is cold and good . [A] [O] [S] [A] fridge [O] cold and good [S] positive
3515,i always want to check in at this hotel because the service is very good . [A] [O] [S] [A] service [O] very good [S] positive,
3516,the service is very good . [A] [O] [S] [A] service [O] very good [S] positive,
3524,the ac in room 515 wasn't cold enough . [A] [O] [S] [A] ac [O] wasn't cold enough [S] negative,
3526,"alhamdulillah , the service is good . [A] [O] [S] [A] service [O] good [S] positive",
3531,the parking area is quite spacious . [A] [O] [S] [A] parking area [O] quite spacious [S] positive,
3537,the ac is not cold . [A] [O] [S] [A] ac [O] not cold [S] negative,
3539,the service is fast . i was there when there were renovations . [A] [O] [S] [A] service [O] fast [S] positive,
3542,"alhamdulillah , the place is comfortable . [A] [O] [S] [A] place [O] comfortable [S] positive",
3548,everything is okay . [A] [O] [S] [A] everything [O] okay [S] positive,
3564,the service is not good . [A] [O] [S] [A] service [O] not good [S] negative,
3574,there are no snacks . [A] [O] [S] [A] snacks [O] no [S] negative,
3576,the service is lacking . [A] [O] [S] [A] service [O] lacking [S] negative,
3580,"the service is good , even to the point of being taken to the airport . [A] [O] [S] [A] service [O] good [S] positive",
3584,"the place is nice , near a restaurant . [A] [O] [S] [A] place [O] nice [S] positive",
3594,it's a shame the elevator isn't working . [A] [O] [S] [A] elevator [O] isn't working [S] negative,
3629,the water pressure is low . [A] [O] [S] [A] water pressure [O] low [S] negative,the pore stress is good . [A] [O] [S] [A] pore stress [O] good [S] positive
3669,there are no airy facilities . [A] [O] [S] [A] airy facilities [O] no [S] negative,
3744,the service is fast . [A] [O] [S] [A] service [O] fast [S] positive,the device is slow . [A] [O] [S] [A] device [O] slow [S] negative
3753,there is no soap in the room . [A] [O] [S] [A] soap [O] no [S] negative,there is some sap in the room . [A] [O] [S] [A] sap [O] some [S] positive
3764,the wifi is not satisfactory : ) . [A] [O] [S] [A] wifi [O] not satisfactory [S] negative,the bars is quite good : ) . [A] [O] [S] [A] bars [O] quite good [S] positive
3783,"i've stayed here 3 times , always a loyal customer . the place is comfortable . [A] [O] [S] [A] place [O] comfortable [S] positive","i've stayed here 3 times , not a loyal customer . the space is bad . [A] [O] [S] [A] space [O] bad [S] negative"
3804,a very comfortable place to rest . [A] [O] [S] [A] place [O] very comfortable [S] positive,a very uncomfortable location to rest . [A] [O] [S] [A] location [O] very uncomfortable [S] negative
3811,the hot shower isn't working . [A] [O] [S] [A] hot shower [O] isn't working [S] negative,the blue river is now working . [A] [O] [S] [A] blue river [O] is now working [S] positive
3858,the bedsheets were not clean enough . [A] [O] [S] [A] bedsheets [O] not clean enough [S] negative,the bedcovers were clean and soft . [A] [O] [S] [A] bedcovers [O] clean and soft [S] positive
3914,the place is very nice . [A] [O] [S] [A] place [O] very nice [S] positive,
3926,friendly staff . [A] [O] [S] [A] staff [O] friendly [S] positive,
4021,the service was not friendly . [A] [O] [S] [A] service [O] not friendly [S] negative,
4029,the room wasn't clean enough . [A] [O] [S] [A] room [O] wasn't clean enough [S] negative,the area was spotless enough . [A] [O] [S] [A] area [O] was spotless enough [S] positive
4062,the room is not soundproof . [A] [O] [S] [A] room [O] not soundproof [S] negative,the wall is mostly soundproof . [A] [O] [S] [A] wall [O] mostly soundproof [S] positive
4075,the breakfast menu was not very tasty . [A] [O] [S] [A] breakfast menu [O] not very tasty [S] negative,the lunch menu was not very bad . [A] [O] [S] [A] lunch menu [O] not very bad [S] positive
4087,the bathroom is too cramped . [A] [O] [S] [A] bathroom [O] too cramped [S] negative,the kitchen is roomy . [A] [O] [S] [A] kitchen [O] roomy [S] positive
4093,the parking area is spacious . [A] [O] [S] [A] parking area [O] spacious [S] positive,the eating area is cramped . [A] [O] [S] [A] eating area [O] cramped [S] negative
4161,the breakfast menu is delicious . [A] [O] [S] [A] breakfast menu [O] delicious [S] positive,the lunch menu is terrible . [A] [O] [S] [A] lunch menu [O] terrible [S] negative
4188,the ac in room number 10 is not cold . [A] [O] [S] [A] ac [O] not cold [S] negative,the fridge in room number 10 is very cold . [A] [O] [S] [A] fridge [O] very cold [S] positive
4212,the hot water is unstable . [A] [O] [S] [A] hot water [O] unstable [S] negative,the cool breeze is stable . [A] [O] [S] [A] cool breeze [O] stable [S] positive
4249,there is no tissue . [A] [O] [S] [A] tissue [O] no [S] negative,
4258,the breakfast was not tasty . [A] [O] [S] [A] breakfast [O] not tasty [S] negative,the dinner was very tasty . [A] [O] [S] [A] dinner [O] very tasty [S] positive
4272,the ac is hot . [A] [O] [S] [A] ac [O] hot [S] negative,the fridge is cold . [A] [O] [S] [A] fridge [O] cold [S] positive
4344,"the facilities are good . thank you , airy . [A] [O] [S] [A] facilities [O] good [S] positive","the facets are bad . hate you , airy . [A] [O] [S] [A] facets [O] bad [S] negative"
4442,the wifi is not fast enough . [A] [O] [S] [A] wifi [O] not fast enough [S] negative,the life is not slow enough. [A] [O] [S] [A] life [O] not slow enough [S] positive
