index,original_sentence,original_triplet,counterfact1,counterfact_triplet1,counterfact1_modified,counterfact_triplet1_modified,counterfact2,counterfact_triplet2,counterfact2_modified,counterfact_triplet2_modified,counterfact3,counterfact_triplet3,counterfact3_modified,counterfact_triplet3_modified,checked1?,checked2?,checked3?
252,"the tv uses an indoor antenna in the room , so the picture is unclear . there was only one bottle of water provided for two days , and the divider between rooms is made of triplex .","[('tv', 'unclear', 'negative')]","the pc uses an indoor antenna in the room , so the picture is unclear . there was only one bottle of water provided for two days , and the divider between rooms is made of triplex .","('pc', 'unclear', 'negative')",,,"the tv uses an indoor antenna in the room , so the picture is blurry . there was only one bottle of water provided for two days , and the divider between rooms is made of triplex .","('tv', 'blurry', 'negative')",,,"the tv uses an indoor antenna in the room , so the picture is clear . there was only one bottle of water provided for two days , and the divider between rooms is made of triplex .","('tv', 'clear', 'positive')",,,False,False,False
258,"the ac wasn't cold , far from expectations and airy standards .","[('ac', ""wasn't cold"", 'negative')]","the fan wasn't cold , far from expectations and airy standards .","('fan', ""wasn't cold"", 'negative')",,,"the ac was not good , far from expectations and airy standards .","('ac', 'was not good', 'negative')",,,"the ac was not cold , far from expectations and airy standards .","('ac', 'was not cold', 'positive')",,,False,False,False
261,the room is good for a standard budget .,"[('room', 'good', 'positive')]",the desk is good for a standard budget .,"('desk', 'good', 'positive')",,,the room is decent for a standard budget .,"('room', 'decent', 'positive')",,,the room is bad for a standard budget .,"('room', 'bad', 'negative')",,,False,False,False
282,the bedsheets were not clean enough .,"[('bedsheets', 'not clean enough', 'negative')]",the bedcovers were not clean enough .,"('bedcovers', 'not clean enough', 'negative')",,,the bedsheets were not very clean .,"('bedsheets', 'not very clean', 'negative')",,,the bedsheets were clean and soft .,"('bedsheets', 'clean and soft', 'positive')",,,False,False,False
284,there were no towels .,"[('towels', 'no', 'negative')]",there were no pillows .,"('pillows', 'no', 'negative')",,,there were absent towels .,"('towels', 'absent', 'negative')",,,there were some towels .,"('towels', 'some', 'positive')",,,False,False,False
287,"the bed in the room we used was very comfortable , although the cleaning staff had to re-clean the room we were going to use because something was left behind .","[('bed', 'very comfortable', 'positive')]","the table in the room we used was very comfortable , although the cleaning staff had to re-clean the room we were going to use because something was left behind .","('table', 'very comfortable', 'positive')",,,"the bed in the room we used was very comfy , although the cleaning staff had to re-clean the room we were going to use because something was left behind .","('bed', 'very comfy', 'positive')",,,"the bed in the room we used was very uncomfortable , although the cleaning staff had to re-clean the room we were going to use because something was left behind .","('bed', 'very uncomfortable', 'negative')",,,False,False,False
292,"the room is not soundproof . so , even normal conversation from the next room can be heard . i stayed for 2 nights .","[('room', 'not soundproof', 'negative')]","the hall is not soundproof . so , even normal conversation from the next hall can be heard . i stayed for 2 nights .","('hall', 'not soundproof', 'negative')",,,"the room is not quiet enough . so , even normal conversation from the next room can be heard . i stayed for 2 nights .","('room', 'not quiet enough', 'negative')",,,"the room is slightly soundproof . so , no normal conversation from the next room can be heard . i stayed for 2 nights .","('room', 'slightly soundproof', 'positive')",,,False,False,False
306,good service .,"[('service', 'good', 'positive')]",good foo .,"('foo', 'good', 'positive')",,,great service .,"('service', 'great', 'positive')",,,bad service .,"('service', 'bad', 'negative')",,,False,False,False
318,"the service is very good , really suitable for travelers who want to stay in the ciputat area .","[('service', 'very good', 'positive')]","the provision is very good , really suitable for travelers who want to stay in the ciputat area .","('provision', 'very good', 'positive')",,,"the service is quite good , really suitable for travelers who want to stay in the ciputat area .","('service', 'quite good', 'positive')",,,"the service is really bad , really bad for travelers who want to stay in the ciputat area .","('service', 'really bad', 'negative')",,,False,False,False
322,very good .,"[('null', 'very good', 'positive')]",,,,,,,,,,,,,False,False,False
348,the place is very nice .,"[('place', 'very nice', 'positive')]",the space is very nice .,"('space', 'very nice', 'positive')",,,the place is quite good .,"('place', 'quite good', 'positive')",,,the place is very bad .,"['place', 'very bad', 'negative']",,,False,False,False
351,"comfortable , like being at a relative's house .","[('null', 'comfortable', 'positive')]",,,,,,,,,,,,,False,False,False
362,friendly staff .,"[('staff', 'friendly', 'positive')]",friendly crew .,"('crew', 'friendly', 'positive')",,,kind staff .,"('staff', 'kind', 'positive')",,,cold staff .,"('staff', 'cold', 'negative')",,,False,False,False
372,the water isn't working .,"[('water', ""isn't working"", 'negative')]",the quake isn't working .,"('quake', ""isn't working"", 'negative')",,,the water isn't functioning .,"('water', ""isn't functioning"", 'negative')",,,the water isn't faulty .,"('water', ""isn't faulty"", 'positive')",,,False,False,False
381,"stayed here for three nights . the area is strategic , not too far from the airport and the ampera bridge .","[('area', 'strategic', 'positive')]","stayed here for three nights . the zone is strategic , not too far from the airport and the ampera bridge .","['zone', 'strategic', 'positive']",,,"stayed here for three nights . the area is convenient , not too far from the airport and the ampera bridge .","('area', 'convenient', 'positive')",,,"stayed here for three nights . the area is inconvenient , not too far from the airport and the ampera bridge .","('area', 'inconvenient', 'negative')",,,False,False,False
394,the wifi is bad .,"[('wifi', 'bad', 'negative')]",the lan is bad .,"('lan', 'bad', 'negative')",,,the wifi is awful .,"('wifi', 'awful', 'negative')",,,the wifi is great .,"('wifi', 'great', 'positive')",,,False,False,False
419,"the hotel is in a shop-house , so parking is inadequate .","[('parking', 'inadequate', 'negative')]","the hotel is in a shop-house , so P is inadequate .","('P', 'inadequate', 'negative')",,,"the hotel is in a shop-house , so parking is insufficient .","('parking', 'insufficient', 'negative')",,,"the hotel is in a shop-house , so parking is adequate .","('parking', 'adequate', 'positive')",,,False,False,False
457,excellent service .,"[('service', 'excellent', 'positive')]",excellent store .,"('store', 'excellent', 'positive')",,,superb service .,"('service', 'superb', 'positive')",,,poor service .,"('service', 'poor', 'negative')",,,False,False,False
463,the room is quite comfortable .,"[('room', 'quite comfortable', 'positive')]",the fram is quite comfortable .,"('fram', 'quite comfortable', 'positive')",,,the room is very cozy .,"('room', 'very cozy', 'positive')",,,the room is not comfortable .,"('room', 'not comfortable', 'negative')",,,False,False,False
468,the service was not friendly .,"[('service', 'not friendly', 'negative')]",the thing was not friendly .,"('thing', 'not friendly', 'negative')",,,the service was not nice .,"('service', 'not nice', 'negative')",,,the service was very friendly .,"('service', 'very friendly', 'positive')",,,False,False,False
477,the room wasn't clean enough .,"[('room', ""wasn't clean enough"", 'negative')]",the area wasn't clean enough .,"('area', ""wasn't clean enough"", 'negative')",,,the room was not clean enough .,"('room', 'was not clean enough', 'negative')",,,the room was spotless enough .,"('room', 'was spotless enough', 'positive')",,,False,False,False
485,the room is clean .,"[('room', 'clean', 'positive')]",the foo is clean .,"['foo', 'clean', 'positive']",,,the room is tidy .,"('room', 'tidy', 'positive')",,,the room is dirty .,"('room', 'dirty', 'negative')",,,False,False,False
499,good service .,"[('service', 'good', 'positive')]",good b .,"('b', 'good', 'positive')",,,great service .,"['service', 'great', 'positive']",,,bad service .,"('service', 'bad', 'negative')",,,False,False,False
513,the room is not soundproof .,"[('room', 'not soundproof', 'negative')]",the glob is not soundproof .,"('glob', 'not soundproof', 'negative')",,,the room is barely soundproof .,"('room', 'barely soundproof', 'negative')",,,the room is mostly soundproof .,"('room', 'mostly soundproof', 'positive')",,,False,False,False
523,very satisfied .,"[('null', 'very satisfied', 'positive')]",,,,,,,,,,,,,False,False,False
524,very good .,"[('null', 'very good', 'positive')]",,,,,,,,,,,,,False,False,False
528,the breakfast menu was not very tasty .,"[('breakfast menu', 'not very tasty', 'negative')]",the lunch menu was not very tasty .,"('lunch menu', 'not very tasty', 'negative')",,,the breakfast menu was not very fresh .,"('breakfast menu', 'not very fresh', 'negative')",,,the breakfast menu was not very bad .,"('breakfast menu', 'not very bad', 'positive')",,,False,False,False
536,the ac is not cold enough .,"[('ac', 'not cold enough', 'negative')]",the xyz is not cold enough .,"('xyz', 'not cold enough', 'negative')",,,the ac is not cooling well .,"['ac', 'not cooling well', 'negative']",,,the ac is cold and good .,"('ac', 'cold and good', 'positive')",,,False,False,False
541,good for business trips .,"[('null', 'good', 'positive')]",,,,,,,,,,,,,False,False,False
542,the bathroom is too cramped .,"[('bathroom', 'too cramped', 'negative')]",the kitchen is too cramped .,"('kitchen', 'too cramped', 'negative')",,,the bathroom is very small .,"('bathroom', 'very small', 'negative')",,,the bathroom is roomy .,"('bathroom', 'roomy', 'positive')",,,False,False,False
548,the parking area is spacious .,"[('parking area', 'spacious', 'positive')]",the parkar is spacious .,"('parkar', 'spacious', 'positive')",,,the parking area is ample .,"('parking area', 'ample', 'positive')",,,the parking area is cramped .,"['parking area', 'cramped', 'negative']",,,False,False,False
550,the spring bed is hard .,"[('spring bed', 'hard', 'negative')]",the blue car is hard .,"['blue car', 'hard', 'negative']",,,the spring bed is firm .,"('spring bed', 'firm', 'negative')",,,the spring bed is soft .,"('spring bed', 'soft', 'positive')",,,False,False,False
560,comfortable staying with family .,"[('null', 'comfortable', 'positive')]",,,,,,,,,,,,,False,False,False
564,the bathtub is leaking . please fix it .,"[('bathtub', 'leaking', 'negative')]",the sink is leaking . please fix it .,"('sink', 'leaking', 'negative')",,,the bathtub is broken . please fix it .,"('bathtub', 'broken', 'negative')",,,the bathtub is fixed . please check it .,"('bathtub', 'fixed', 'positive')",,,False,False,False
571,okay for a budget hotel .,"[('null', 'okay', 'positive')]",,,,,,,,,,,,,False,False,False
583,very satisfying . vacation with family and parents . the children are very happy because they can play in the swimming pool .,"[('null', 'very satisfying', 'positive')]",,,,,,,,,,,,,False,False,False
597,the place is comfortable .,"[('place', 'comfortable', 'positive')]",the space is comfortable .,"('space', 'comfortable', 'positive')",,,the place is cozy .,"('place', 'cozy', 'positive')",,,the place is uncomfortable .,"['place', 'uncomfortable', 'negative']",,,False,False,False
601,awesome . airy rooms are indeed crazy good .,"[('null', 'awesome', 'positive')]",,,,,,,,,,,,,False,False,False
613,the bathroom is dirty .,"[('bathroom', 'dirty', 'negative')]",the room is dirty .,"('room', 'dirty', 'negative')",,,the bathroom is filthy .,"('bathroom', 'filthy', 'negative')",,,the bathroom is clean .,"('bathroom', 'clean', 'positive')",,,False,False,False
614,the atmosphere is comfortable and access to everywhere is near .,"[('atmosphere', 'comfortable', 'positive')]",the ambiance is comfortable and access to everywhere is near .,"('ambiance', 'comfortable', 'positive')",,,the atmosphere is relaxing and access to everywhere is near .,"('atmosphere', 'relaxing', 'positive')",,,the atmosphere is uncomfortable and access to everywhere is near .,"('atmosphere', 'uncomfortable', 'negative')",,,False,False,False
622,please pay attention to the cleanliness of the room .,"[('cleanliness of the room', 'please pay attention', 'negative')]",please pay attention to the brightness of the room .,"['brightness of the room', 'please pay attention', 'negative']",,,do not ignore to the cleanliness of the room .,"('cleanliness of the room', 'do not ignore', 'negative')",,,please take care of the cleanliness of the room .,"('cleanliness of the room', 'take care of', 'positive')",,,False,False,False
623,the facilities need to be improved .,"[('facilities', 'need to be improved', 'negative')]",the widget need to be improved .,"('widget', 'need to be improved', 'negative')",,,the facilities are unsatisfactory .,"('facilities', 'are unsatisfactory', 'negative')",,,the facilities are good and reliable .,"('facilities', 'are good and reliable', 'positive')",,,False,False,False
624,the breakfast menu is delicious .,"[('breakfast menu', 'delicious', 'positive')]",the lunch menu is delicious .,"('lunch menu', 'delicious', 'positive')",,,the breakfast menu is tasty .,"('breakfast menu', 'tasty', 'positive')",,,the breakfast menu is terrible .,"('breakfast menu', 'terrible', 'negative')",,,False,False,False
634,friendly and near pvj .,"[('null', 'friendly', 'positive')]",,,,,,,,,,,,,False,False,False
639,the ac isn't cold enough .,"[('ac', ""isn't cold enough"", 'negative')]",the fridge isn't cold enough .,"('fridge', ""isn't cold enough"", 'negative')",,,the ac isn't cool enough .,"('ac', ""isn't cool enough"", 'negative')",,,the ac is not cold enough.,"('ac', 'is not cold enough', 'positive')",,,False,False,False
641,quite satisfying .,"[('null', 'quite satisfying', 'positive')]",,,,,,,,,,,,,False,False,False
644,the breakfast was delicious .,"[('breakfast', 'delicious', 'positive')]",the lunch was delicious .,"('lunch', 'delicious', 'positive')",,,the breakfast was tasty .,"('breakfast', 'tasty', 'positive')",,,the breakfast was disgusting .,"('breakfast', 'disgusting', 'negative')",,,False,False,False
648,it's a bit dirty in the room on the 2nd floor .,"[('room', 'a bit dirty', 'negative')]",it's a bit dirty in the hall on the 2nd floor .,"('hall', 'a bit dirty', 'negative')",,,it's somewhat unclean in the room on the 2nd floor .,"['room', 'somewhat unclean', 'negative']",,,it's a bit clean in the room on the 2nd floor .,"('room', 'a bit clean', 'positive')",,,False,False,False
654,the ac in room number 10 is not cold .,"[('ac', 'not cold', 'negative')]",the xyz in room number 10 is not cold .,"('xyz', 'not cold', 'negative')",,,the ac in room number 10 is not cool .,"('ac', 'not cool', 'negative')",,,the ac in room number 10 is not warm .,"('ac', 'not warm', 'positive')",,,False,False,False
656,"the room condition is already good , but it would be even better if it were improved with a bathroom freshener .","[('room', 'good', 'positive')]","the hall condition is already good , but it would be even better if it were improved with a bathroom freshener .","('hall', 'good', 'positive')",,,"the room condition is already lovely , but it would be even better if it were improved with a bathroom freshener .","('room', 'lovely', 'positive')",,,"the room condition is already poor , but it would be even better if it were improved with a bathroom freshener .","('room', 'poor', 'negative')",,,False,False,False
666,the hot water is not working .,"[('hot water', 'not working', 'negative')]",the cold air is not working .,"['cold air', 'not working', 'negative']",,,the hot water is malfunctioning .,"('hot water', 'malfunctioning', 'negative')",,,the hot water is working well .,"('hot water', 'working well', 'positive')",,,False,False,False
668,quite satisfactory for the price .,"[('null', 'quite satisfactory', 'positive')]",,,,,,,,,,,,,False,False,False
670,the breakfast menu is varied .,"[('breakfast menu', 'varied', 'positive')]",the dinner list is varied .,"('dinner list', 'varied', 'positive')",,,the breakfast menu is diverse .,"('breakfast menu', 'diverse', 'positive')",,,the breakfast menu is limited .,"('breakfast menu', 'limited', 'negative')",,,False,False,False
673,cleanliness needs to be improved .,"[('cleanliness', 'needs to be improved', 'negative')]",freshness needs to be improved .,"('freshness', 'needs to be improved', 'negative')",,,cleanliness is unsatisfactory .,"('cleanliness', 'is unsatisfactory', 'negative')",,,cleanliness needs to be improved .,"('cleanliness', 'needs to be improved', 'neutral')",,,False,False,False
674,the old building is a bit scary .,"[('building', 'a bit scary', 'negative')]",the old shard is a bit scary .,"('shard', 'a bit scary', 'negative')",,,the old building is a bit creepy .,"('building', 'a bit creepy', 'negative')",,,the old building is a bit lovely .,"('building', 'a bit lovely', 'positive')",,,False,False,False
681,the hot water is unstable .,"[('hot water', 'unstable', 'negative')]",the cool breeze is unstable .,"('cool breeze', 'unstable', 'negative')",,,the hot water is unreliable .,"('hot water', 'unreliable', 'negative')",,,the hot water is stable .,"('hot water', 'stable', 'positive')",,,False,False,False
687,the service is very good .,"[('service', 'very good', 'positive')]",the cloud is very good .,"('cloud', 'very good', 'positive')",,,the service is quite good .,"('service', 'quite good', 'positive')",,,the service is very bad .,"('service', 'very bad', 'negative')",,,False,False,False
688,"when i stayed here , i got a very large room .","[('room', 'very large', 'positive')]","when i stayed here , i got a very large lamp .","('lamp', 'very large', 'positive')",,,"when i stayed here , i got a quite big room .","('room', 'quite big', 'positive')",,,"when i stayed here, i got a very small room.","('room', 'very small', 'negative')",,,False,False,False
691,comfortable and close to the shopping center and tourist attractions .,"[('null', 'comfortable', 'positive')]",,,,,,,,,,,,,False,False,False
713,the place is in the city center and very quiet .,"[('place', 'very quiet', 'positive')]",the spot is in the city center and very quiet .,"('spot', 'very quiet', 'positive')",,,the place is in the city center and very calm .,"['place', 'very calm', 'positive']",,,the place is in the city center and not quiet .,"['place', 'not quiet', 'negative']",,,False,False,False
721,there is no tissue .,"[('tissue', 'no', 'negative')]",there is no object .,"('object', 'no', 'negative')",,,there is none tissue .,"['tissue', 'none', 'negative']",,,there is some tissue .,"('tissue', 'some', 'positive')",,,False,False,False
724,"even though it was only a short stay there , it was comfortable .","[('null', 'comfortable', 'positive')]",,,,,,,,,,,,,False,False,False
730,the breakfast was not tasty .,"[('breakfast', 'not tasty', 'negative')]",the dinner was not tasty .,"('dinner', 'not tasty', 'negative')",,,the breakfast was not good .,"('breakfast', 'not good', 'negative')",,,the breakfast was very tasty .,"('breakfast', 'very tasty', 'positive')",,,False,False,False
736,the wifi wasn't working .,"[('wifi', ""wasn't working"", 'negative')]",the fizz wasn't working .,"('fizz', ""wasn't working"", 'negative')",,,the wifi was not functioning .,"('wifi', 'was not functioning', 'negative')",,,the wifi was working perfectly .,"('wifi', 'was working perfectly', 'positive')",,,False,False,False
738,"the place is comfortable ; god willing , if i go to cirebon , i will stop by again .","[('place', 'comfortable', 'positive')]","the patch is comfortable ; god willing , if i go to cirebon , i will stop by again .","['patch', 'comfortable', 'positive']",,,"the place is pleasant ; god willing , if i go to cirebon , i will stop by again .","('place', 'pleasant', 'positive')",,,"the place is unpleasant ; god willing , if i go to cirebon , i will stop by again .","('place', 'unpleasant', 'negative')",,,False,False,False
744,the ac is hot .,"[('ac', 'hot', 'negative')]",the xy is hot .,"('xy', 'hot', 'negative')",,,the ac is broken .,"('ac', 'broken', 'negative')",,,the ac is cold .,"('ac', 'cold', 'positive')",,,False,False,False
749,"it's quite good , actually , and it's close to kuta if you want to walk .","[('null', 'quite good', 'positive')]",,,,,,,,,,,,,False,False,False
774,the price is okay .,"[('price', 'okay', 'positive')]",the taste is okay .,"('taste', 'okay', 'positive')",,,the price is fair .,"['price', 'fair', 'positive']",,,the price is bad .,"('price', 'bad', 'negative')",,,False,False,False
776,"overall it's good , but if possible , the space under the bed should also be cleaned because there was a used baby diaper .","[('overall', 'good', 'positive')]","summary it's good , but if possible , the space under the bed should also be cleaned because there was a used baby diaper .","('summary', 'good', 'positive')",,,"overall it's nice , but if possible , the space under the bed should also be cleaned because there was a used baby diaper .","('overall', 'nice', 'positive')",,,"overall it's bad , but if possible , the space under the bed should also be cleaned because there was a used baby diaper .","('overall', 'bad', 'negative')",,,False,False,False
796,the internet is slow .,"[('internet', 'slow', 'negative')]",the net is slow .,"('net', 'slow', 'negative')",,,the internet is sluggish .,"('internet', 'sluggish', 'negative')",,,the internet is fast .,"['internet', 'fast', 'positive']",,,False,False,False
804,"it's quiet , but it's better to find another hotel .","[('null', 'quiet', 'positive')]",,,,,,,,,,,,,False,False,False
807,the lighting in the toilet is not good .,"[('lighting', 'not good', 'negative')]",the sighting in the toilet is not good .,"('sighting', 'not good', 'negative')",,,the lighting in the toilet is very bad .,"('lighting', 'very bad', 'negative')",,,the lighting in the toilet is pretty nice .,"('lighting', 'pretty nice', 'positive')",,,False,False,False
818,"there are free snacks . thank you , airyrooms .","[('free snacks', 'there are', 'positive')]","there are blue cakes . thank you , airyrooms .","('blue cakes', 'there are', 'positive')",,,"we have free snacks . thank you , airyrooms .","('free snacks', 'we have', 'positive')",,,"are not free snacks . thank you , airyrooms .","('free snacks', 'are not', 'negative')",,,False,False,False
821,"everything is clean , basically everything .","[('everything', 'clean', 'positive')]","something is clean , basically something .","('something', 'clean', 'positive')",,,"everything is fresh , basically everything .","['everything', 'fresh', 'positive']",,,"everything is dirty , basically everything .","['everything', 'dirty', 'negative']",,,False,False,False
823,"the facilities are good . thank you , airy .","[('facilities', 'good', 'positive')]","the facets are good . thank you , airy .","('facets', 'good', 'positive')",,,"the facilities are great . thank you , airy .","('facilities', 'great', 'positive')",,,"the facilities are poor . thank you , airy .","('facilities', 'poor', 'negative')",,,False,False,False
